"species_code"
"ovenbi1"
"moudov"
"blujay"
"rewbla"
"scatan"
"herthr"
"brdowl"
"balori"
"btnwar"
"rufgro"
"amegfi"
"haiwoo"
"sonspa"
"eawpew"
"chswar"
"yelwar"
"amered"
"magwar"
"indbun"
"daejun"
"easpho"
"woothr"
"rebwoo"
"reevir1"
"robgro"
"veery"
"comyel"
"grycat"
"amecro"
"swaspa"
"yebsap"
"amerob"
"bkbcuc"
"pilwoo"
"norcar"
"norhar2"
"chispa"
"warvir"
"horlar"
"wooduc"
"savspa"
"eursta"
"boboli"
"dickci"
"bkcchi"
"killde"
"barswa"
"fiscro"
"easkin"
"easmea"
"uplsan"
"mallar3"
"normoc"
"rocpig"
"comgra"
"vesspa"
"grcfly"
"tuftit"
"houwre"
"acafly"
"hoowar"
"grbher3"
"yetvir"
"dowwoo"
"turvul"
"wilfly"
"purmar"
"bnhcow"
"cedwax"
"pinwar"
"treswa"
"whbnut"
"fiespa"
"norwat"
"banswa"
"nrwswa"
"sposan"
"whrsan"
"brnthr"
"clcspa"
"cliswa"
"norfli"
"ribgul"
"semsan"
"eastow"
"prowar"
"cerwar"
"rethaw"
"orcori"
"buggna"
"rthhum"
"brncre"
"rinphe1"
"leafly"
"rehwoo"
"baleag"
"osprey"
"cangoo"
"houspa"
"buwwar"
"aldfly"
"sedwre1"
"marwre"
"hoomer"
"grnher"
"yebcuc"
"bawwar"
"greegr"
"easblu"
"btbwar"
"grhowl"
"graspa"
"chiswi"
"amekes"
"leasan"
"bkbwar"
"purfin"
"belkin1"
"buhvir"
"rebnut"
"comrav"
"norpar"
"commer"
"brwhaw"
"winwre3"
"amewoo"
"wiltur"
"comgal1"
"blkter"
"bcnher"
"doccor"
"houfin"
"shshaw"
"coohaw"
"amebit"
"gockin"
"swathr"
"mouwar"
"mutswa"
"henspa"
"hergul"
"leabit"
"yerwar"
"virrai"
"whtspa"
"reshaw"
"prawar"
"louwat"
"canwar"
"gbbgul"
"caster1"
"comter"
"lbbgul"
"carwre"
"whcspa"
"gadwal"
"ambduc"
"naswar"
"tenwar"
"pibgre"
"buwtea"
"sancra"
"redhea"
"yebcha"
"wilsni1"
"amewig"
"y00475"
"sora"
"kinrai4"
"easowl1"
"redcro"
"semplo"
