"species_code"
"dowwoo"
"grycat"
"banswa"
"grbher3"
"treswa"
"comyel"
"rewbla"
"scatan"
"blujay"
"easpho"
"barswa"
"amered"
"reevir1"
"mallar3"
"yelwar"
"veery"
"easkin"
"bkcchi"
"bkbwoo"
"whtspa"
"ovenbi1"
"borchi2"
"bkpwar"
"winwre3"
"brncre"
"aldfly"
"bkbwar"
"yebfly"
"yebsap"
"herthr"
"comrav"
"bicthr"
"haiwoo"
"yerwar"
"daejun"
"btbwar"
"cedwax"
"swathr"
"rebnut"
"purfin"
"btnwar"
"magwar"
"clcspa"
"easblu"
"sonspa"
"fiespa"
"bawwar"
"buwwar"
"chswar"
"grcfly"
"amecro"
"pinwar"
"amegfi"
"eastow"
"swaspa"
"yetvir"
"indbun"
"norwat"
"wiltur"
"amewoo"
"gockin"
"rufgro"
"belkin1"
"rthhum"
"naswar"
"canwar"
"norfli"
"norpar"
"comgra"
"turvul"
"mouwar"
"amerob"
"buhvir"
"woothr"
"chiswi"
"houspa"
"carwre"
"rocpig"
"eursta"
"pilwoo"
"houwre"
"bnhcow"
"moudov"
"whbnut"
"norcar"
"killde"
"chispa"
"eawpew"
"balori"
"brnthr"
"yebcuc"
"bkbcuc"
"brdowl"
"gycthr"
"easwpw1"
"savspa"
"amekes"
"boboli"
"warvir"
"reshaw"
"robgro"
"hoowar"
"rebwoo"
"tuftit"
"houfin"
"brwhaw"
"norgos2"
"acafly"
"prawar"
"leafly"
"comloo"
"buggna"
"cangoo"
"virrai"
"grnher"
"sora"
"wooduc"
"ribgul"
"marwre"
"comgal1"
"louwat"
"nrwswa"
"hoomer"
"wilfly"
"coohaw"
"easmea"
"graspa"
"sposan"
"orcori"
"cerwar"
"osprey"
"rethaw"
"dickci"
"blkvul"
"henspa"
"purmar"
"pibgre"
"amebit"
"leabit"
"uplsan"
"wilsni1"
"norhar2"
"cliswa"
"baleag"
"caster1"
"doccor"
"chwwid"
"rinphe1"
"redcro"
"whevir"
"pinsis"
"woewar1"
"normoc"
"fiscro"
"perfal"
"gowwar"
"gryjay"
"linspa"
"palwar"
"hergul"
"evegro"
"whwsco2"
"commer"
"mutswa"
"olsfly"
"horlar"
"comter"
"sancra"
"ruckin"
"shshaw"
"prowar"
"whrsan"
"semsan"
"rehwoo"
"vesspa"
"grhowl"
"bongul"
"nswowl"
"whwcro"
"kenwar"
"yebcha"
"tenwar"
"comnig"
"easowl1"
"ambduc"
"ycnher"
"greegr"
"sedwre1"
"rinduc"
"merlin"
"semplo"
"phivir"
"sander"
"buwtea"
"blkter"
"triher"
"pipplo"
"norbob"
"comgol"
"rusbla"
