"species_code"
"blujay"
"paibun"
"carwre"
"amecro"
"wooduc"
"pilwoo"
"norfli"
"dowwoo"
"comyel"
"yebcuc"
"easkin"
"reevir1"
"amegfi"
"normoc"
"eastow"
"woothr"
"orcori"
"rewbla"
"moudov"
"indbun"
"tuftit"
"reshaw"
"buggna"
"eawpew"
"chiswi"
"chispa"
"eursta"
"grycat"
"barswa"
"amerob"
"easblu"
"bnhcow"
"carchi"
"sonspa"
"norcar"
"rebwoo"
"whbnut"
"rocpig"
"houfin"
"killde"
"treswa"
"amekes"
"whevir"
"rthhum"
"turvul"
"easmea"
"blugrb1"
"blkvul"
"comgra"
"vesspa"
"fiespa"
"dickci"
"graspa"
"yebcha"
"fiscro"
"easpho"
"houspa"
"savspa"
"brnthr"
"houwre"
"acafly"
"buwwar"
"bkcchi"
"scatan"
"amered"
"ovenbi1"
"cangoo"
"warvir"
"wilfly"
"bawwar"
"grcfly"
"haiwoo"
"yetvir"
"balori"
"comnig"
"nrwswa"
"grbher3"
"belkin1"
"cedwax"
"yelwar"
"swaspa"
"btnwar"
"buhvir"
"veery"
"brwhaw"
"doccor"
"rosspo1"
"mallar3"
"norpar"
"louwat"
"woewar1"
"purmar"
"rethaw"
"grnher"
"chswar"
"redcro"
"pinwar"
"aldfly"
"herthr"
"prawar"
"kenwar"
"greegr"
"solsan"
"brdowl"
"daejun"
"comrav"
"pecsan"
"sposan"
"bcnher"
"semsan"
"osprey"
"horlar"
"norwat"
"bkbcuc"
"easwpw1"
"wiltur"
"henspa"
"boboli"
"cliswa"
"kinrai4"
"baleag"
"prowar"
"coohaw"
"gockin"
"brncre"
"magwar"
"winwre3"
"btbwar"
"bkbwar"
"leafly"
"ribgul"
"marwre"
"rinduc"
"sora"
"amebit"
"pibgre"
"hoowar"
"easowl1"
"virrai"
"triher"
"banswa"
"sumtan"
"rehwoo"
"chwwid"
"amewoo"
"swawar"
"rebnut"
"yebsap"
"canwar"
"norbob"
"yetwar"
"leabit"
"leasan"
"robgro"
"truswa"
"cerwar"
"brnowl"
"ambduc"
"laugul"
"caster1"
"ycnher"
"snoegr"
"hoomer"
"libher"
"merlin"
"miskit"
"eucdov"
"grhowl"
"commer"
"yerwar"
"greyel"
"sedwre1"
"gloibi"
