"species_code","score","start_offset_sec","end_offset_sec"
"yebcha",0.99999875,47,50
"robgro",0.9994519,168,171
"norcar",0.9159328,211,214
"prawar",0.9999924,291,294
"moudov",0.9941613,310,313
"reevir1",0.9725396,413,416
"whevir",0.99677986,475,478
"fiespa",0.9100992,546,549
"hoowar",0.99981076,569,572
"norfli",0.99890953,622,625
"buggna",0.9938095,633,636
"kenwar",0.9999906,775,778
"yetwar",0.9057062,815,818
"scatan",0.96795225,861,864
"amecro",0.97199214,924,927
"eastow",0.99996823,937,940
"amerob",0.98477936,1049,1052
"comyel",0.95222956,1054,1057
"cerwar",0.9973967,1066,1069
"indbun",0.99125296,1110,1113
"blujay",0.99278516,1157,1160
"yetvir",0.9607197,1218,1221
