"code","threshold_masked"
"grbher3",0.78
"osprey",0.67
"whtkit",0.31
"swtkit",0.19
"shshaw",0.9
"coohaw",0.7
"norgos",0.1
"norhar2",0.17
"baleag",0.23
"miskit",0.05
"brwhaw",0.72
"reshaw",0.6
"rethaw",0.79
"brnowl",1
"easowl1",0.35
"grhowl",0.59
"brdowl",0.17
"loeowl",0.3
"sheowl",0.05
"nswowl",0.56
"belkin1",0.31
"yebsap",0.74
"rehwoo",0.06
"rebwoo",0.65
"bkbwoo",0.07
"dowwoo",0.93
"recwoo",0.03
"haiwoo",0.76
"pilwoo",0.68
"norfli",0.91
"amekes",0.82
"merlin",0.07
"perfal",0.54
"monpar",0.51
"olsfly",0.32
"eawpew",0.71
"yebfly",0.52
"acafly",0.64
"aldfly",0.29
"wilfly",0.56
"leafly",0.75
"hamfly",0.86
"wesfly",0.65
"easpho",0.72
"saypho",0.87
"verfly",0.7
"astfly",0.62
"grcfly",0.98
"trokin",0.83
"coukin",0.59
"weskin",0.53
"easkin",0.62
"sctfly",0.43
"fotfly",0.11
"whevir",0.55
"belvir",0.28
"yetvir",0.41
"buhvir",0.41
"warvir",0.83
"reevir1",0.87
"bkwvir",0.8
"logshr",0.91
"norshr4",0.05
"gryjay",0.36
"blujay",0.79
"amecro",0.88
"fiscro",0.72
"comrav",0.91
"carchi",0.56
"bkcchi",0.87
"borchi2",0.1
"tuftit",0.75
"horlar",0.94
"banswa",0.89
"treswa",0.71
"purmar",0.26
"gybmar",0.95
"nrwswa",0.18
"barswa",0.96
"cliswa",0.4
"cavswa",0.06
"ruckin",0.88
"gockin",0.75
"whbnut",0.52
"bnhnut",0.06
"rebnut",0.55
"brncre",0.75
"buggna",0.89
"rocwre",0.47
"houwre",0.83
"pacwre1",0.18
"winwre3",0.17
"sedwre1",0.1
"marwre",0.77
"carwre",0.81
"eursta",0.93
"grycat",0.83
"brnthr",0.53
"normoc",0.97
"easblu",0.28
"towsol",0.58
"varthr",0.28
"veery",0.7
"gycthr",0.96
"bicthr",0.03
"swathr",0.75
"herthr",0.8
"woothr",0.67
"amerob",0.89
"bohwax",0.03
"cedwax",0.78
"houspa",0.89
"whiwag",0.81
"amepip",0.9
"evegro",0.56
"pingro",0.56
"houfin",0.83
"purfin",0.52
"redcro",0.84
"whwcro",0.15
"eurgol",0.67
"pinsis",0.74
"amegfi",0.86
"laplon",0.7
"smilon",0.01
"snobun",1
"graspa",0.73
"chispa",0.92
"clcspa",0.18
"fiespa",0.97
"brespa",0.36
"larspa",0.69
"amtspa",0.21
"foxspa",0.65
"daejun",0.93
"whcspa",0.77
"gocspa",0.52
"harspa",0.05
"whtspa",0.88
"vesspa",0.78
"lecspa",0.14
"seaspa",0.07
"nstspa",0.1
"savspa",0.68
"henspa",0.05
"sonspa",0.82
"linspa",0.84
"swaspa",0.87
"gnttow",0.66
"spotow",0.91
"eastow",0.83
"yebcha",0.87
"yehbla",0.62
"boboli",0.26
"wesmea",0.8
"easmea",0.61
"orcori",0.41
"bulori",0.73
"balori",0.88
"rewbla",0.87
"bnhcow",0.93
"rusbla",0.11
"brebla",0.88
"comgra",0.93
"botgra",0.54
"ovenbi1",0.83
"woewar1",0.4
"louwat",0.17
"norwat",0.86
"gowwar",0.17
"buwwar",0.61
"bawwar",0.76
"prowar",0.69
"swawar",0.09
"tenwar",0.98
"orcwar",0.83
"naswar",0.58
"virwar",0.59
"conwar",0.03
"macwar",0.96
"mouwar",0.14
"kenwar",0.29
"comyel",0.85
"hoowar",0.38
"amered",0.79
"kirwar",0.02
"camwar",0.66
"cerwar",0.27
"norpar",0.82
"magwar",0.62
"babwar",0.45
"bkbwar",0.66
"yelwar",0.92
"chswar",0.8
"bkpwar",0.35
"btbwar",0.45
"palwar",0.57
"pinwar",0.61
"yerwar",0.86
"yetwar",0.18
"prawar",0.36
"btywar",0.92
"towwar",0.94
"herwar",0.73
"btnwar",0.8
"canwar",0.47
"wlswar",0.89
"paired",0.33
"sumtan",0.92
"scatan",0.49
"westan",0.57
"norcar",0.82
"robgro",0.53
"bkhgro",0.74
"blugrb1",0.58
"indbun",0.92
"paibun",0.19
"dickci",0.1
