"underscores","PRIMARY_COM_NAME","SPECIES_CODE","TAXON_ORDER","iucn.ordinal","max.acad","trend","bl.range.size","range.size","median.abund","hti","mig.distance","ebird.mig.dist","edge.score","sp.dist","gen.field","morph.field","conservation.status","vulnerability.factors","uniqueness","bpi.score"
"Struthio_camelus","Common Ostrich","ostric2",2,0.263232931950581,0.203705278417204,0.484546068273038,0.169601748756015,0.233791619492993,0.549176022752941,0.491853511370866,0.714554538083103,0.608295464241014,0.688743110554396,0.668706207126044,0.999932320710015,0.390747257565297,0.290476249942052,0.592114681865272,0.679911078369852,1.56250201017718
"Struthio_molybdophanes","Somali Ostrich","ostric3",7,0.6115834264942,0.229581413540416,0.491487354652569,0.169601748756015,0.266772126585591,0.555153869382822,0.548956565594826,0.714554538083103,0.566048455902992,0.672601133398847,0.675312044997952,0.99888311117558,0.371016609982596,0.661699123802557,0.609731251189264,0.67214898698019,1.94357936197201
"Rhea_americana","Greater Rhea","grerhe1",10,0.698671050130105,0.255357511984122,0.498108326419491,0.184474673748205,0.368510862364017,0.622813515989153,0.593262118663678,0.678039044752097,0.619151513712699,0.614182216599365,0.635887361381684,0.991175141173412,0.306382050487972,0.757314019298216,0.665888142813115,0.628574621942982,2.05177678405431
"Rhea_pennata","Lesser Rhea","lesrhe2",16,0.263232931950581,0.22683809129682,0.497014728962045,0.285746545646074,0.331860567590512,0.614299446498504,0.514769649531964,0.564729636142933,0.634743309968212,0.600681171174372,0.644129269328957,0.990339354173028,0.292839139431912,0.294888556948232,0.619085653891911,0.62354656111014,1.53752077195028
"Nothocercus_julius","Tawny-breasted Tinamou","tabtin1",22,0.263232931950581,0.34580523650495,0.506117904920712,0.430139226638466,0.487837884696972,0.81240111579368,0.583142389619177,0.545863546554378,0.585954319645802,0.397181431018213,0.524928481592202,0.998471402379568,0.138606329244338,0.308875824412092,0.670665105592315,0.503514931356417,1.48305586136082
"Nothocercus_bonapartei","Highland Tinamou","higtin1",23,0.263232931950581,0.364659734530594,0.496296751006556,0.430561268556152,0.545201444018095,0.986822078450595,0.511552937515499,0.574391378226903,0.591149504186972,0.41176466938737,0.537504828293884,0.997535547868213,0.147066079801474,0.361272302532352,0.798082055024425,0.512395271180311,1.67174962873709
"Nothocercus_nigrocapillus","Hooded Tinamou","hootin1",30,0.263232931950581,0.35555414078526,0.50069486845107,0.403960730942142,0.516882872608616,0.888275979476868,0.498185503316855,0.539432235547323,0.585746088639497,0.398119563231543,0.547389462101495,0.993615423754716,0.139140579145796,0.309046085415292,0.612898944785587,0.508399494480125,1.430344524681
"Tinamus_tao","Gray Tinamou","grytin1",33,0.6115834264942,0.286815998296279,0.501409020545958,0.222361145536932,0.391177224363163,0.728558992511582,0.569242436964084,0.653880282804486,0.633915663904809,0.443309001844044,0.506574603608937,0.975649299634037,0.166544610887101,0.669305113970128,0.663680714296973,0.511936036401543,1.84492186466864
"Tinamus_solitarius","Solitary Tinamou","soltin1",38,0.698671050130105,0.306635089108113,0.496387963300231,0.297960942611071,0.409562362843054,0.738238033237319,0.594412621501684,0.595113828348989,0.571322768115574,0.444930700340965,0.504781952762941,0.989954803122374,0.167591516870827,0.762449961179096,0.652966537118706,0.515823088506281,1.93123958680408
"Tinamus_osgoodi","Black Tinamou","blatin1",39,0.6115834264942,0.331599916307811,0.504900116956619,0.527244530471768,0.451849959836046,0.735630173377196,0.58744032214394,0.461095824551225,0.622371598571469,0.437024891317857,0.532245206815156,0.99258504234796,0.16253082803539,0.674580644933817,0.681845679962551,0.52020827518849,1.87663460008486
"Tinamus_major","Great Tinamou","gretin1",42,0.263232931950581,0.19890530974396,0.501917264133142,0.178871826785447,0.286451008326431,0.69216298116813,0.547688118488788,0.687893342153352,0.624372609328862,0.409171642946301,0.517120468998112,0.98615721751226,0.145537426517347,0.222881793600691,0.639610413632481,0.503207456573072,1.36569966380624
"Tinamus_guttatus","White-throated Tinamou","whttin1",55,0.698671050130105,0.251360443452398,0.510238709693159,0.220266247091127,0.351006778719165,0.72100682485384,0.580958782191941,0.652368660708629,0.625523897200971,0.378939762393861,0.466298895128522,0.974777705283487,0.128482369963641,0.758811496657621,0.665404164871861,0.475174202084194,1.89938986361368
"Crypturellus_cinereus","Cinereous Tinamou","cintin1",57,0.263232931950581,0.292425132346759,0.504614103293951,0.195273926209469,0.403073554541268,0.724539150113996,0.387551037245722,0.66931852304857,0.557904176362937,0.355199211134328,0.478719969968398,0.983672602557482,0.116031268091428,0.30300806913343,0.50592504731023,0.471365440728712,1.28029855717237
"Crypturellus_berlepschi","Berlepsch's Tinamou","bertin1",58,0.263232931950581,0.337645492997905,0.509631072933331,0.483586108538711,0.46713026855405,0.74615248407886,0.62375568933025,0.462572159769638,0.564249174394168,0.374669109778682,0.441178210530541,0.988543745226512,0.126183323963814,0.308571024970033,0.679020854621604,0.470584862887757,1.45817674247939
"Crypturellus_soui","Little Tinamou","littin1",59,0.263232931950581,0.232056194701287,0.502361346236598,0.155216317389606,0.332243200068721,0.712894301711171,0.35074081634197,0.706270695474578,0.609649100342405,0.330373711735089,0.463449693079769,0.986490951548724,0.103836742563989,0.250658343079842,0.504607230556888,0.458698668574206,1.21396424221094
"Crypturellus_ptaritepui","Tepui Tinamou","teptin1",74,0.263232931950581,0.38505162369945,0.500219657246632,0.781232914231344,0.520651403260302,0.749012932362081,0.528882908790344,0.310134858590843,0.581793436145116,0.362724727467002,0.499640012139189,0.996122111627667,0.119892139892319,0.31208192486517,0.660043419592994,0.482824727339739,1.4549500717979
"Crypturellus_obsoletus","Brown Tinamou","brotin1",75,0.263232931950581,0.272653241592745,0.505985825219529,0.264927741260214,0.370520809302322,0.730833396673101,0.419559669774531,0.639459905450702,0.566527513330702,0.332970065992666,0.477332989495792,0.992242559445623,0.105074186417034,0.301139789875129,0.598478625581039,0.464707582502025,1.36432599795819
"Crypturellus_undulatus","Undulated Tinamou","undtin1",86,0.263232931950581,0.279181355640291,0.500903125211004,0.171647619367712,0.385186578822026,0.71971199930075,0.25616070366464,0.690083706302997,0.597202610801033,0.349352510771148,0.473958272429335,0.98628662433581,0.113085343812765,0.301024204527521,0.438249562395307,0.468564292106297,1.20783805902912
"Crypturellus_transfasciatus","Pale-browed Tinamou","pabtin1",93,0.698671050130105,0.336831830704669,0.499503407930524,0.505261703375342,0.467387298082087,0.75295907517049,0.376178081895535,0.440418370638689,0.494501390025131,0.331202560445013,0.440641077390721,0.997493145589645,0.104230837052601,0.766127594387345,0.483166722191852,0.455988880452442,1.70528319703164
"Crypturellus_strigulosus","Brazilian Tinamou","bratin1",94,0.263232931950581,0.312222361168568,0.509694916320557,0.246659011192893,0.439025033825975,0.749950379750529,0.620052399034389,0.632800627422227,0.619371275200877,0.352136885468314,0.484352649794827,0.973112136656649,0.114482485930968,0.305899817360767,0.692157779877776,0.468923107472167,1.46698070471071
"Crypturellus_duidae","Gray-legged Tinamou","gyltin1",95,0.263232931950581,0.306764092735087,0.510440526364369,0.433396300365258,0.438661600584337,0.743554506780925,0.518077278136145,0.504484298152623,0.623400387817439,0.370001148696767,0.46324414478654,0.947301704677447,0.123700513446639,0.305442104979761,0.664877949497756,0.463844143252424,1.43416419772994
"Crypturellus_erythropus","Red-legged Tinamou","reltin1",96,0.263232931950581,0.289259065635108,0.513338703030623,0.293151698868199,0.399201980064486,0.739208861391224,0.459662911556454,0.609598943776836,0.624593058325992,0.352946674772286,0.468466988701929,0.993583266146131,0.114890795904871,0.30405439205275,0.592366782260705,0.47040904981362,1.36683022412708
"Crypturellus_noctivagus","Yellow-legged Tinamou","yeltin1",104,0.698671050130105,0.304572489858927,0.510342771067197,0.280057351564641,0.423292770648925,0.753161222779991,0.591353630692762,0.606572968485539,0.62163141225219,0.326379818188073,0.456623242304025,0.967093007869359,0.101950064796243,0.764440087224598,0.653237729096766,0.450478530430855,1.86815634675222
"Crypturellus_atrocapillus","Black-capped Tinamou","blctin1",107,0.263232931950581,0.31269472402529,0.507084341269943,0.437216355035224,0.439746735574466,0.742754218175084,0.508064343779318,0.487542898469032,0.563757117446307,0.354951967006106,0.489863878350328,0.979502123032689,0.115905748012403,0.305536640930158,0.611460713205963,0.473055471350422,1.39005282548654
"Crypturellus_boucardi","Slaty-breasted Tinamou","slbtin1",110,0.6115834264942,0.397810619487921,0.51597107020151,0.373112577433407,0.539300453195882,0.790411013903964,0.602700937865278,0.543692982653722,0.573890737254293,0.351050871118636,0.462518263269701,0.992344187551482,0.113936297182617,0.53604802337525,0.668404918199444,0.467838898456973,1.67229184003167
"Crypturellus_kerriae","Choco Tinamou","chotin1",113,0.698671050130105,0.397810619487921,0.508944389522192,0.621484400738477,0.533604097792485,0.775521604542473,0.539306289372928,0.344743767389343,0.535935056627148,0.367859941997448,0.470855456528244,0.989072593665202,0.122572061990612,0.572054884852182,0.6072994494333,0.475650773815977,1.65500510810146
"Crypturellus_variegatus","Variegated Tinamou","vartin1",114,0.263232931950581,0.292611880434565,0.514143482650016,0.200693513861774,0.416068803716933,0.747844315930903,0.590468040342806,0.667956354501301,0.628478754695207,0.34612536786181,0.450099846785837,0.984250215046698,0.111479108983396,0.304535321029315,0.674888337175308,0.460696657084753,1.44012031528938
"Crypturellus_cinnamomeus","Thicket Tinamou","thitin1",115,0.263232931950581,0.331508849573267,0.507512454597908,0.324930611545256,0.457622479573861,0.757645230872419,0.495798092529743,0.579757499010544,0.542498851092083,0.328432042989235,0.468334012413226,0.999014741504883,0.102916976732334,0.334227732506485,0.578093296927677,0.462423191332368,1.37474422076653
