"species_code","score","start_offset_sec","end_offset_sec"
"reevir1",0.98477405,101,104
"amered",0.99848837,179,182
"amerob",0.9433026,334,337
"eawpew",0.98166203,565,568
"scatan",0.9154572,574,577
"chswar",0.8528092,620,623
"blujay",0.9954663,686,689
"woothr",0.8666543,804,807
"ovenbi1",0.9896025,860,863
"veery",0.99999714,1053,1056
"canwar",0.61388594,1075,1078
"swathr",0.8924298,1220,1223
"winwre3",0.20915113,1223,1226
"buhvir",0.6571799,1277,1280
"rufgro",0.73860115,1300,1303
"robgro",0.55089426,1365,1368
"norcar",0.9557451,1376,1379
"bkcchi",0.9991116,1395,1398
