"species_code","score","start_offset_sec","end_offset_sec"
"cedwax",0.9295298,64,67
"amerob",0.98744106,94,97
"bkcchi",0.96835476,104,107
"savspa",0.94697183,265,268
"comyel",0.99954194,294,297
"eawpew",0.9062829,304,307
"cangoo",0.98894316,424,427
"sonspa",0.9996429,446,449
"blujay",0.9998975,451,454
"grycat",0.99072814,528,531
"canwar",0.6186317,570,573
"rewbla",0.9815926,583,586
"dickci",0.281727,594,597
"amecro",0.9920341,659,662
"swaspa",0.9822887,708,711
"sedwre1",0.9999292,1116,1119
"amegfi",0.9996814,1173,1176
