"species_code","score","start_offset_sec","end_offset_sec"
"yebcha",0.9999762,3,6
"tuftit",0.7581131,13,16
"buggna",0.99100906,41,44
"moudov",0.99603546,47,50
"cliswa",0.9258315,62,65
"nrwswa",0.3438812,63,66
"pinwar",0.6379745,96,99
"bnhnut",0.9945338,359,362
"fiespa",0.9953003,371,374
"chispa",0.96987736,397,400
"rehwoo",0.11860246,405,408
"easblu",0.569244,431,434
"comyel",0.99966353,432,435
"grcfly",0.9965275,440,443
"easpho",0.7401893,699,702
"chwwid",0.17413098,736,739
"robgro",0.8659316,747,750
"easkin",0.9852672,843,846
"bnhcow",0.9968767,872,875
"eastow",0.9991209,877,880
"yetwar",0.98440194,889,892
