"species_code","score","start_offset_sec","end_offset_sec"
"gowwar",0.9836348,1,4
"amecro",0.9403366,21,24
"buggna",0.9927981,43,46
"woothr",0.99949616,151,154
"chwwid",0.056737702,152,155
"rebwoo",0.9841565,181,184
"buwwar",0.99675936,191,194
"blujay",0.91513836,209,212
"cedwax",0.9986311,221,224
"fiespa",0.9721929,222,225
"comyel",0.9844302,229,232
"easwpw1",0.26250643,244,247
"reevir1",0.9790259,278,281
"norcar",0.9960436,288,291
"amered",0.97615254,293,296
"prawar",0.99525565,298,301
"carwre",0.99592704,299,302
