"species_code","score","start_offset_sec","end_offset_sec"
"hoowar",0.98555636,6,9
"woothr",0.7406899,10,13
"cerwar",0.8347167,52,55
"veery",0.90328807,72,75
"ovenbi1",0.9989386,87,90
"scatan",0.98327404,107,110
"eastow",0.86648583,157,160
"btbwar",0.99075884,162,165
"mouwar",0.74823517,167,170
"chswar",0.99970365,171,174
"robgro",0.68882316,202,205
"buhvir",0.88866705,212,215
"norpar",0.92558604,214,217
"louwat",0.44395024,218,221
"yetwar",0.47079659,233,236
"magwar",0.9771609,284,287
"reevir1",0.9898557,303,306
"btnwar",0.9729454,326,329
