"species_code","score","start_offset_sec","end_offset_sec"
"cerwar",0.506472,10,13
"woothr",0.91127247,12,15
"eawpew",0.9998358,15,18
"hoowar",0.541141,37,40
"scatan",0.9011855,63,66
"robgro",0.99690795,68,71
"amered",0.9983037,121,124
"norcar",0.9920554,136,139
"moudov",0.9393779,138,141
"yelwar",0.9718583,175,178
"grycat",0.99983793,265,268
"veery",0.9955048,277,280
"haiwoo",0.99974364,296,299
"amerob",0.9923488,297,300
"sonspa",0.96598446,330,333
"warvir",0.99973434,333,336
"prowar",0.99929243,376,379
