"species_code","score","start_offset_sec","end_offset_sec"
"brnthr",0.68554324,75,78
"fiespa",0.99748915,100,103
"easblu",0.9987689,133,136
"chispa",0.95450056,236,239
"sonspa",0.9995778,395,398
"eursta",0.9983697,409,412
"houspa",0.9958002,525,528
"grycat",0.9999767,570,573
"houfin",0.8686341,679,682
"amerob",0.9977701,716,719
"norfli",0.9877709,737,740
"rewbla",0.99871886,924,927
"rebwoo",0.93151706,930,933
"yelwar",0.9977825,1015,1018
"houwre",0.8897369,1027,1030
"commer",0.9720652,1176,1179
"chiswi",0.7844831,1191,1194
"treswa",0.87283456,1201,1204
"norcar",0.95061064,1253,1256
"boboli",0.99997133,1263,1266
"clcspa",0.2243406,1263,1266
"killde",0.99725854,1336,1339
"amegfi",0.9987837,1339,1342
"warvir",0.9779075,1348,1351
"wilfly",0.5784858,1360,1363
