"species_code","score","start_offset_sec","end_offset_sec"
"blujay",0.98239094,12,15
"fiespa",0.99990416,36,39
"henspa",0.069876954,37,40
"dickci",0.935561,54,57
"rewbla",0.98139155,88,91
"gowwar",0.18327135,89,92
"blugrb1",0.9776481,153,156
"comyel",0.8687275,163,166
"vesspa",0.999994,182,185
"graspa",0.9996071,190,193
"sonspa",0.98901665,241,244
"houwre",0.9718355,249,252
"easmea",0.8708841,254,257
"rebwoo",0.99105674,291,294
"indbun",0.9994279,298,301
"easblu",0.54358596,308,311
"orcori",0.6058313,320,323
