"species_code","score","start_offset_sec","end_offset_sec"
"easblu",0.39189038,30,33
"easwpw1",0.11357131,54,57
"indbun",0.99762696,209,212
"houwre",0.9985173,264,267
"norcar",0.9975273,292,295
"reevir1",0.9675875,349,352
"chiswi",0.102070615,381,384
"whevir",0.90589756,420,423
"carwre",0.9692113,500,503
"leabit",0.22471748,504,507
"chispa",0.9999555,564,567
"fiscro",0.92584777,570,573
"bkbcuc",0.658222,670,673
"yebcuc",0.806283,684,687
"sedwre1",0.5770127,794,797
"norbob",0.2848385,816,819
"leafly",0.8924849,824,827
"fiespa",0.98863006,828,831
"cedwax",0.99042183,842,845
"amecro",0.9763472,893,896
