"species_code","score","start_offset_sec","end_offset_sec"
"tuftit",0.8938597,51,54
"eastow",0.9999039,55,58
"hoowar",0.9910777,74,77
"blujay",0.9925822,104,107
"rebwoo",0.9978945,121,124
"louwat",0.5757265,191,194
"yetvir",0.9998823,220,223
"reevir1",0.9943894,253,256
"yebcha",0.99603206,264,267
"haiwoo",0.9746718,294,297
"woothr",0.9318565,300,303
"kenwar",0.5586106,349,352
"whevir",0.9238285,359,362
"indbun",0.9924354,378,381
"norfli",0.99478126,409,412
"scatan",0.99441826,424,427
"prawar",0.9993013,434,437
"norcar",0.8303564,469,472
