"species_code","score","start_offset_sec","end_offset_sec"
"norcar",0.97285086,4,7
"carwre",0.94082177,10,13
"fiespa",0.9872024,16,19
"dowwoo",0.98816854,41,44
"yebcuc",0.9848937,62,65
"amegfi",0.9999798,113,116
"balori",0.91539216,136,139
"chiswi",0.1319224,146,149
"canwar",0.47386825,203,206
"orcori",0.47425517,226,229
"rewbla",0.8733642,232,235
"osprey",0.99522,265,268
"houfin",0.94192266,284,287
"houwre",0.9634412,288,291
"sonspa",0.94224083,301,304
"grcfly",0.9999963,336,339
"reevir1",0.9806197,343,346
"yetwar",0.4831734,349,352
"blujay",0.99303603,379,382
"indbun",0.9918909,383,386
