"species_code","score","start_offset_sec","end_offset_sec"
"woothr",0.99284637,6,9
"btbwar",0.9939917,25,28
"bkbwar",0.9998107,46,49
"bkcchi",0.99082106,62,65
"reevir1",0.9941748,82,85
"moudov",0.95225614,126,129
"yerwar",0.90742624,144,147
"eawpew",0.9438554,166,169
"amerob",0.9930587,178,181
"gockin",0.99990886,206,209
"daejun",0.9975569,230,233
"winwre3",0.3836473,325,328
"rebwoo",0.71260303,337,340
"ovenbi1",0.99999547,413,416
"whbnut",0.808117,422,425
"purfin",0.5275187,494,497
"louwat",0.6713871,511,514
"brncre",0.99895823,572,575
"rebnut",0.99993885,581,584
