"species_code","score","start_offset_sec","end_offset_sec"
"amegfi",0.97360885,7,10
"scatan",0.9909693,41,44
"carwre",0.99407244,119,122
"tuftit",0.9351487,143,146
"ovenbi1",0.9978041,209,212
"norcar",0.98667514,253,256
"swawar",0.21798071,287,290
"daejun",0.96237254,304,307
"bkbcuc",0.9468379,313,316
"eastow",0.9981865,317,320
"acafly",0.9963552,322,325
"buggna",0.99260896,362,365
"amecro",0.9646052,397,400
"easwpw1",0.5908906,403,406
"reevir1",0.99851745,422,425
"eawpew",0.96449196,425,428
"whbnut",0.99953705,447,450
"yebcuc",0.86959946,462,465
"rebwoo",0.9616162,533,536
"pinwar",0.9155866,534,537
"reshaw",0.97131836,599,602
