"species_code","score","start_offset_sec","end_offset_sec"
"eawpew",0.7143193,223,226
"warvir",0.9523715,266,269
"norhar2",0.4649968,276,279
"comgra",0.97024965,297,300
"indbun",0.9975251,310,313
"woothr",0.9574992,336,339
"whevir",0.99602157,357,360
"cedwax",0.9808556,378,381
"amecro",0.9973202,454,457
"acafly",0.9495317,500,503
"eastow",0.9998179,514,517
"haiwoo",0.99319464,524,527
"coohaw",0.97836304,535,538
"rehwoo",0.13131817,585,588
"rebwoo",0.9056313,592,595
"yebcuc",0.99068606,624,627
"tuftit",0.8834171,634,637
"wooduc",0.45831448,645,648
"comyel",0.9938718,660,663
"norcar",0.9832297,680,683
"gowwar",0.27757022,682,685
"amegfi",0.99728745,685,688
"orcori",0.49032158,688,691
"aldfly",0.2978369,1038,1041
"amerob",0.95757776,1060,1063
"whtspa",0.93373823,1083,1086
"grycat",0.9999257,1118,1121
"easowl1",0.70898944,1129,1132
"prawar",0.44109783,1165,1168
