"species_code","score","start_offset_sec","end_offset_sec"
"indbun",0.99976283,15,18
"chispa",0.9921344,51,54
"norbob",0.21157022,53,56
"norcar",0.9919148,77,80
"fiespa",0.9974812,80,83
"prawar",0.37385494,86,89
"amecro",0.90532017,120,123
"blujay",0.79553473,172,175
"dickci",0.99435884,180,183
"comyel",0.95040053,183,186
"orcori",0.831944,185,188
"rewbla",0.97554773,191,194
"easmea",0.9533645,229,232
"fiscro",0.992625,254,257
"graspa",0.8342329,280,283
"moudov",0.8869215,318,321
"normoc",0.9967293,358,361
"brnthr",0.7040803,359,362
"blugrb1",0.9992953,409,412
"sonspa",0.99957067,417,420
