"species_code","score","start_offset_sec","end_offset_sec"
"scatan",0.80868375,38,41
"veery",0.8517446,59,62
"carwre",0.9990981,72,75
"tuftit",0.9097428,88,91
"amerob",0.93026966,162,165
"woothr",0.9999889,248,251
"easwpw1",0.12198237,248,251
"eastow",0.98665166,294,297
"whbnut",0.9997562,350,353
"amegfi",0.99692374,370,373
"eawpew",0.99779207,455,458
"rebwoo",0.99869055,458,461
"blujay",0.99933004,463,466
"easblu",0.98980486,489,492
"woewar1",0.4242503,516,519
"buwwar",0.69698745,597,600
"dickci",0.38241473,617,620
