"species_code","score","start_offset_sec","end_offset_sec"
"whbnut",0.9991301,29,32
"semplo",0.6282597,67,70
"winwre3",0.99840397,113,116
"veery",0.9483118,127,130
"reevir1",0.9999414,129,132
"bkbcuc",0.61460674,130,133
"yebcuc",0.16053654,130,133
"easkin",0.9405974,149,152
"yetvir",0.7010908,185,188
"comyel",0.9556273,188,191
"grcfly",0.9910496,205,208
"easpho",0.98560363,215,218
"buhvir",0.99666667,227,230
"sonspa",0.824706,251,254
"cedwax",0.9927054,257,260
"brdowl",0.9472156,272,275
"bkcchi",0.9743438,283,286
"magwar",0.9700863,321,324
"amegfi",0.9992162,464,467
"redcro",0.98153013,479,482
"amerob",0.9672434,499,502
