"species_code","score","start_offset_sec","end_offset_sec"
"killde",0.99991477,16,19
"amerob",0.9129515,31,34
"whbnut",0.6984621,67,70
"balori",0.88463646,96,99
"amecro",0.995587,102,105
"eursta",0.9654129,122,125
"osprey",0.9976478,131,134
"cedwax",0.99917614,166,169
"grycat",0.9997153,215,218
"caster1",0.97739345,222,225
"carwre",0.9998706,225,228
"blujay",0.80407506,274,277
"belkin1",0.92068845,277,280
"normoc",0.99038965,286,289
"rethaw",0.80768377,296,299
"amegfi",0.99447566,300,303
"sonspa",0.9923036,304,307
