"species_code","score","start_offset_sec","end_offset_sec"
"ribgul",0.9938283,14,17
"yelwar",0.9732667,16,19
"moudov",0.93698865,53,56
"wiltur",0.99277896,85,88
"balori",0.9862479,118,121
"comyel",0.95307124,129,132
"easwpw1",0.14639072,135,138
"grycat",0.9999004,136,139
"wilfly",0.9997567,192,195
"amerob",0.9836438,210,213
"sonspa",0.9969021,228,231
"aldfly",0.98749375,243,246
"warvir",0.9999624,253,256
"amegfi",0.99972,260,263
"amecro",0.9685556,269,272
"rebwoo",0.76281273,281,284
"wooduc",0.39804718,284,287
"rewbla",0.9872187,285,288
"easkin",0.81930006,294,297
"woothr",0.97812057,315,318
"whcspa",0.85857284,328,331
