"species_code","score","start_offset_sec","end_offset_sec"
"chiswi",0.85483056,7,10
"whbnut",0.99761635,34,37
"reevir1",0.9889473,49,52
"blujay",0.99948204,61,64
"norcar",0.9972486,62,65
"grycat",0.9988941,67,70
"sonspa",0.998236,85,88
"bnhcow",0.9844365,89,92
"fiscro",0.99957085,111,114
"chispa",0.97987854,134,137
"houwre",0.98894054,138,141
"houfin",0.990485,178,181
"carwre",0.986349,197,200
"orcori",0.63291574,201,204
"houspa",0.958962,214,217
"tuftit",0.99508196,225,228
"dickci",0.101610295,232,235
