"species_code","score","start_offset_sec","end_offset_sec"
"orcori",0.6828575,14,17
"wilfly",0.78232694,16,19
"easkin",0.65754336,16,19
"sonspa",0.9886584,30,33
"normoc",0.99986607,33,36
"easblu",0.3088989,80,83
"moudov",0.9963744,118,121
"grycat",0.99997073,125,128
"rebwoo",0.9771945,153,156
"savspa",0.98541063,205,208
"easmea",0.8543767,235,238
"rewbla",0.9894197,237,240
"warvir",0.98806596,267,270
"amerob",0.9937734,281,284
"barswa",0.99781686,283,286
"killde",0.9963606,288,291
"tuftit",0.9636223,300,303
"cedwax",0.94018954,308,311
"belkin1",0.4993718,314,317
