"species_code","score","start_offset_sec","end_offset_sec"
"indbun",0.9997811,101,104
"amecro",0.98638153,110,113
"chiswi",0.99455583,117,120
"boboli",0.523908,164,167
"amegfi",0.88050246,210,213
"henspa",0.07644208,219,222
"reevir1",0.94102126,328,331
"fiespa",0.9999266,329,332
"comyel",0.9578994,347,350
"easwpw1",0.14419283,457,460
"grycat",0.99994403,492,495
"louwat",0.7628693,551,554
"norcar",0.98304236,560,563
"robgro",0.8693911,571,574
"eastow",0.9994544,607,610
"woothr",0.9560425,607,610
"whevir",0.99912244,626,629
"bkbcuc",0.48327082,693,696
