"species_code","score","start_offset_sec","end_offset_sec"
"woothr",0.95971584,44,47
"winwre3",0.9984941,61,64
"canwar",0.99904186,82,85
"buhvir",0.48163,99,102
"rebwoo",0.9617393,105,108
"reevir1",0.9970416,107,110
"hoowar",0.89530075,110,113
"comyel",0.9824447,132,135
"veery",0.92047673,152,155
"eawpew",0.9211694,158,161
"whbnut",0.9998093,182,185
"brncre",0.7521514,183,186
"bkbcuc",0.9877334,192,195
"sonspa",0.9819332,192,195
"eastow",0.94599545,198,201
"yebcuc",0.90561813,213,216
"ovenbi1",0.9996349,229,232
