"species_code","score","start_offset_sec","end_offset_sec"
"yetvir",0.9948603,2,5
"acafly",0.9950356,9,12
"pilwoo",0.9595767,31,34
"miskit",0.12618336,48,51
"buggna",0.9849253,51,54
"rehwoo",0.06000111,60,63
"ovenbi1",0.9984706,62,65
"yebcha",0.8828581,92,95
"yebcuc",0.3987388,98,101
"reevir1",0.9970631,103,106
"amecro",0.9012708,127,130
"woothr",0.7866724,129,132
"moudov",0.9937555,137,140
"rebwoo",0.9585525,138,141
"grnher",0.71848136,173,176
"carwre",0.9959835,203,206
"eawpew",0.9997926,206,209
"scatan",0.898463,207,210
