"species_code","score","start_offset_sec","end_offset_sec"
"hoowar",0.9124941,10,13
"woothr",0.7925906,30,33
"reevir1",0.9865516,32,35
"blujay",0.9711454,32,35
"yebcha",0.9999586,87,90
"indbun",0.9920817,87,90
"prawar",0.99988323,92,95
"tuftit",0.98360616,107,110
"robgro",0.9987208,127,130
"buggna",0.9995479,132,135
"eastow",0.9999465,186,189
"rehwoo",0.9852302,218,221
"cerwar",0.9716265,223,226
"acafly",0.97950023,247,250
"moudov",0.941012,266,269
"amecro",0.9814014,270,273
"swawar",0.2762286,351,354
