"species_code","score","start_offset_sec","end_offset_sec"
"yebcha",0.9849943,2,5
"indbun",0.9994375,48,51
"amerob",0.9190217,128,131
"whbnut",0.9022082,135,138
"comyel",0.99965703,144,147
"pilwoo",0.8181421,175,178
"eastow",0.99740994,212,215
"brnthr",0.9867016,257,260
"buggna",0.9998843,298,301
"amecro",0.99661195,340,343
"moudov",0.9555075,377,380
"reevir1",0.997595,407,410
"cedwax",0.88786155,411,414
"chispa",0.9561258,420,423
"carwre",0.9992943,437,440
"prawar",0.99477357,522,525
"fiespa",0.9989515,529,532
"norcar",0.8411877,541,544
"easkin",0.93200034,566,569
"grycat",0.98407716,590,593
"rehwoo",0.10659497,612,615
