"species_code","score","start_offset_sec","end_offset_sec"
"amecro",0.97791886,55,58
"daejun",0.964312,131,134
"aldfly",0.9360959,153,156
"hoomer",0.85433495,165,168
"dickci",0.19349004,199,202
"robgro",0.6300211,275,278
"moudov",0.8919181,404,407
"chiswi",0.48614734,406,409
"comyel",0.96482426,424,427
"cedwax",0.98571,429,432
"amerob",0.950163,494,497
"nrwswa",0.20220633,500,503
"tuftit",0.96602637,527,530
"warvir",0.99509484,532,535
"bnhcow",0.95373005,585,588
"grycat",0.9343359,592,595
"brnthr",0.90570414,594,597
"swathr",0.9396885,598,601
"swaspa",0.99993986,629,632
"rewbla",0.99730396,646,649
"blujay",0.82301414,796,799
"amegfi",0.9978614,835,838
"scatan",0.49725428,918,921
"reevir1",0.9896594,949,952
"yelwar",0.99996626,981,984
"yebcuc",0.6500348,1012,1015
"commer",0.7407281,1129,1132
"orcori",0.9503949,1137,1140
"leabit",0.99907035,1260,1263
"easkin",0.8435254,1271,1274
"blkter",0.57394075,1301,1304
"yebcha",0.87932,1321,1324
"sonspa",0.94986206,1354,1357
