"species_code","score","start_offset_sec","end_offset_sec"
"yebsap",0.87615,25,28
"bkbcuc",0.18723893,41,44
"whbnut",0.99764705,44,47
"robgro",0.9835459,64,67
"cedwax",0.8888141,69,72
"veery",0.9583556,91,94
"easblu",0.41792893,123,126
"blujay",0.99754,127,130
"norfli",0.98185295,183,186
"chswar",0.93208474,203,206
"cerwar",0.8805645,205,208
"canwar",0.50791126,206,209
"baleag",0.33891183,207,210
"ovenbi1",0.9987164,229,232
"hoowar",0.9989592,240,243
"btnwar",0.9173829,243,246
"magwar",0.965315,265,268
"btbwar",0.99994695,317,320
"reevir1",0.99665874,318,321
"kenwar",0.37519312,319,322
