"species_code","score","start_offset_sec","end_offset_sec"
"tuftit",0.77183074,3,6
"comyel",0.9972333,12,15
"amecro",0.8860253,27,30
"scatan",0.52617097,34,37
"buhvir",0.70897555,37,40
"amegfi",0.9502321,38,41
"blujay",0.96302885,45,48
"chiswi",0.62152404,64,67
"rewbla",0.99156874,72,75
"sonspa",0.9977183,75,78
"winwre3",0.28745303,76,79
"indbun",0.9973223,81,84
"amerob",0.9479069,87,90
"rebwoo",0.6763694,101,104
"chswar",0.85466635,102,105
"clcspa",0.5468366,120,123
"louwat",0.50359625,164,167
