"species_code","score","start_offset_sec","end_offset_sec"
"killde",0.9525411,0,3
"eursta",0.98821026,2,5
"sonspa",0.97236115,71,74
"blujay",0.94789016,96,99
"normoc",0.99952126,120,123
"rewbla",0.97913575,159,162
"houfin",0.9606239,159,162
"uplsan",0.20258869,160,163
"easmea",0.80169684,162,165
"balori",0.9921122,166,169
"fiespa",0.97016346,177,180
"easblu",0.8327189,193,196
"cedwax",0.9060873,246,249
"belkin1",0.90371287,302,305
"treswa",0.84123963,361,364
"easpho",0.80680484,367,370
"chispa",0.9459865,402,405
"grycat",0.8997887,411,414
"amecro",0.89028424,432,435
