"species_code","score","start_offset_sec","end_offset_sec"
"dickci",0.5351721,11,14
"yelwar",0.9358931,15,18
"easblu",0.2959486,34,37
"henspa",0.9999011,160,163
"reevir1",0.98328495,169,172
"eastow",0.99187076,173,176
"amecro",0.95879704,229,232
"aldfly",0.98694855,283,286
"robgro",0.7547192,288,291
"sonspa",0.9945083,297,300
"fiespa",0.99385846,343,346
"comyel",0.994749,425,428
"pinwar",0.64197165,467,470
"cedwax",0.99256825,506,509
"amerob",0.97712505,508,511
"gowwar",0.34054568,517,520
"grycat",0.8488236,530,533
"buwwar",0.9208969,549,552
