"species_code","score","start_offset_sec","end_offset_sec"
"chswar",0.9589472,7,10
"amerob",0.90633345,97,100
"norpar",0.8550374,174,177
"clcspa",0.4243169,198,201
"reevir1",0.9970363,201,204
"btnwar",0.9987203,207,210
"hoowar",0.9858013,240,243
"eastow",0.93692666,344,347
"gockin",0.77103496,347,350
"amered",0.96825117,405,408
"veery",0.82337487,418,421
"woothr",0.906385,443,446
"swathr",0.98619896,479,482
"bkbwar",0.9535745,488,491
"magwar",0.995839,501,504
"buhvir",0.9860039,542,545
"ovenbi1",0.840989,546,549
"btbwar",0.95764685,567,570
"yebsap",0.9422352,577,580
"bkpwar",0.48869777,692,695
