"species_code","score","start_offset_sec","end_offset_sec"
"amerob",0.9598758,5,8
"graspa",0.99809754,11,14
"easblu",0.39048672,46,49
"savspa",0.99565333,66,69
"brnthr",0.5728267,73,76
"boboli",0.9085694,79,82
"rewbla",0.95860195,80,83
"dowwoo",0.9699097,81,84
"reevir1",0.9901852,88,91
"grycat",0.91542566,104,107
"amegfi",0.9581505,139,142
"robgro",0.5627388,163,166
"swaspa",0.935981,226,229
"chispa",0.9593862,230,233
"rebwoo",0.69470936,236,239
"sonspa",0.9641453,253,256
"amewoo",0.40618804,253,256
"barswa",0.96728796,287,290
"comyel",0.9036517,303,306
"killde",0.8782112,312,315
