"species_code","score","start_offset_sec","end_offset_sec"
"cangoo",0.9873267,45,48
"reevir1",0.9689843,72,75
"amecro",0.9748672,90,93
"amerob",0.9975432,91,94
"sonspa",0.9999196,155,158
"yetwar",0.4725286,217,220
"moudov",0.9449581,221,224
"chswar",0.94939095,260,263
"carchi",0.8902498,374,377
"herthr",0.9466423,381,384
"commer",0.9563574,408,411
"comyel",0.99537313,477,480
"rewbla",0.9400616,478,481
"houwre",0.99997014,489,492
"treswa",0.73754525,493,496
"swaspa",0.9864313,495,498
"grycat",0.9994342,507,510
"acafly",0.69114935,683,686
"aldfly",0.99986863,700,703
