"species_code","score","start_offset_sec","end_offset_sec"
"amecro",0.9422635,16,19
"reevir1",0.9500957,19,22
"yebcuc",0.97934675,32,35
"pinwar",0.99795675,45,48
"blujay",0.9867358,73,76
"norbob",0.38818556,113,116
"woothr",0.9933395,119,122
"bkbcuc",0.19920197,133,136
"dowwoo",0.98019767,151,154
"easblu",0.8496095,160,163
"brnthr",0.9371614,173,176
"yebcha",0.99893665,219,222
"eawpew",0.9832544,316,319
"cerwar",0.5500205,322,325
"amerob",0.95218813,328,331
"rebwoo",0.97643024,345,348
"chispa",0.99843276,349,352
"yetvir",0.9650469,364,367
"norcar",0.9646496,409,412
"bnhcow",0.9891631,415,418
"rehwoo",0.9958874,451,454
"grycat",0.84317684,467,470
