"species_code","score","start_offset_sec","end_offset_sec"
"merlin",0.077582315,1,4
"amecro",0.8941595,4,7
"comyel",0.9648623,10,13
"blujay",0.99847245,19,22
"osprey",0.99940586,22,25
"buwtea",0.9788232,78,81
"eastow",0.8877893,109,112
"easblu",0.9877061,115,118
"amegfi",0.9985646,165,168
"norcar",0.8478723,165,168
"whbnut",0.7687784,175,178
"wilfly",0.9270217,215,218
"daejun",0.93307877,239,242
"tuftit",0.83910394,241,244
"swaspa",0.99895394,252,255
"sonspa",0.9980149,255,258
"boboli",0.66813624,259,262
"amerob",0.9281134,289,292
