"species_code","score","start_offset_sec","end_offset_sec"
"blkter",0.23718943,123,126
"swaspa",0.99968404,131,134
"comyel",0.9996297,136,139
"merlin",0.095598005,138,141
"chswar",0.97345906,149,152
"amegfi",0.9901132,325,328
"leabit",0.45109582,340,343
"sonspa",0.99962795,357,360
"cedwax",0.9986744,368,371
"yelwar",0.9342803,382,385
"pibgre",0.45756558,391,394
"rewbla",0.9961153,400,403
"chiswi",0.39990067,581,584
"norcar",0.9357546,582,585
"treswa",0.91987026,636,639
"marwre",0.9999802,673,676
"wilfly",0.9953474,764,767
