"species_code","score","start_offset_sec","end_offset_sec"
"dowwoo",0.949619,31,34
"leafly",0.99876136,63,66
"yebsap",0.81096786,76,79
"buhvir",0.9774299,80,83
"amegfi",0.98771304,81,84
"swaspa",0.9998838,112,115
"easpho",0.94015217,125,128
"reevir1",0.98694205,137,140
"sancra",0.1370845,144,147
"cedwax",0.8679121,151,154
"easkin",0.7502129,155,158
"norhar2",0.7172338,258,261
"rewbla",0.9977161,292,295
"treswa",0.9993352,318,321
"olsfly",0.72840834,327,330
"commer",0.5779358,345,348
"moudov",0.98134303,362,365
"scatan",0.8766908,378,381
