"species_code","score","start_offset_sec","end_offset_sec"
"yelwar",0.6136359,123,126
"amered",0.50588524,123,126
"grcfly",0.6286506,209,212
"indbun",0.8690936,221,224
"sumtan",0.9896019,353,356
"orcori",0.67384374,457,460
"eastow",0.53066397,462,465
"louwat",0.83305,639,642
"prowar",0.89014554,644,647
"whevir",0.9971942,850,853
"comyel",0.9174924,965,968
"treswa",0.7649885,1078,1081
"carchi",0.94368327,1146,1149
"kenwar",0.7707123,1256,1259
"grycat",0.85745996,1313,1316
"woothr",0.8447362,1433,1436
"buggna",0.792476,1435,1438
