"species_code","score","start_offset_sec","end_offset_sec"
"yetvir",0.83159786,37,40
"eastow",0.836718,767,770
"moudov",0.9693467,888,891
"wilfly",0.72535837,959,962
"yebcha",0.6988347,982,985
"rewbla",0.6933948,1161,1164
"cedwax",0.86189353,1193,1196
"sumtan",0.71901655,1225,1228
"dowwoo",0.63734263,1580,1583
"whevir",0.99689364,1581,1584
"grycat",0.9695067,1677,1680
"carwre",0.81862104,1878,1881
"buwwar",0.56432956,1899,1902
"scatan",0.85525876,2325,2328
"yerwar",0.6282985,2329,2332
"fiespa",0.9658453,2382,2385
"rebwoo",0.53406465,2449,2452
"norcar",0.91062754,2511,2514
"kenwar",0.5884457,2722,2725
